game name, state, location
Age of Empires II: HD Edition, unplayed, steam
Alan Wake, unplayed, steam
Deus Ex: GOTY, briefly played, steam
Deus Ex: Human Revolution, unplayed, steam
Deus Ex: Invisible War, unplayed, steam
Deus Ex: The Fall, unplayed, steam
TES: Oblivion, briefly played, steam
TES: Skyrim, unplayed, steam
Endless Space, briefly played, steam
Evil Genius, briefly played, steam
Garry's Mod, unplayed, steam
Half Life 2, unplayed, steam
Half Life 2: Episode One, unplayed, steam
Half Life 2: Episode Two, unplayed, steam
Half Life 2: Lost Coast, unplayed, steam
Half Life: Blue Shift, unplayed, steam
Half Life: Opposing Force, unplayed, steam
Magic The Gathering, unplayed, steam
Magicka, unplayed, steam
Natural Selection 2, unplayed, steam
Ocrs Must Die! 2, unplayed, steam
Portal, unplayed, steam
Race The Sun, unplayed, steam
Sanctum 2, unplayed, steam
Serious Sam 3: BFE, unplayed, steam
Star Wars - Battlefront II, replay, steam
Star Wars - Jedi Knight II: Jedi Outcast, unplayed, steam
Star Wars: KOTOR, replay, steam
Star Wars: KOTOR II, replay, steam
Star Wars Starfighter, briefly played, steam
Star Wars: The Force Unleashed II, unplayed, steam
Surgeon Simulator, briefly played, steam
Team Fortress Classi, unplayed, steam
Titan Quest, unplayed, steam
TES: Arena, unplayed, gog
TES: Daggerfall, unplayed, gog
Fallout, unplayed, gog
Jade Empire, replay, gog
Little Big Adventure, unplayed, gog
Unreal 2, replay, gog
Unreal, replay, gog
Heroes of Might and Magic, replay, gog
Stronghold: Crusader, unplayed, gog
Dungeon Keeper, unplayed, gog
Unreal Tournament 2004, unplayed, gog
Dungeon Keeper 2, unplayed, gog
System Shock 2, unplayed, gog
RollerCoaster Tycoon 2, unplayed, gog
RollerCoaster Tycoon, replay, gog
Lure of the Temptress, unplayed, gog
Beneath a steel sky, unplayed, gog
Tyrian 2000, unplayed, gog
Dragonsphere, uplayed, gog
Treasure Adventure Game, unplayed, gog
World of Ultimate: Savege Empire, unplayed, gog
Ultima 2, unplayed, gog
Warsow, unplayed, gog
Final Fantasy XIII, briefly played, xbox360
Pokemon Diamond, unplayed, nds
carmageddon 2, wishlist-unplayed, gog
dust: an elysian tail, wishlist-unplayed, gog
knights and merchants, wishlist-replay, gog
bard's tale, wishlist-unplayed, gog
nexus, wishlist-unplayed, gog
star wars rebellion, wishlist-unplayed, gog
longest journey, wishlist-unplayed, gog
dreamfall, wishlist-unplayed, gog
mdk, wishlist-unplayed, gog
rayman forever, wishlist-unplayed, gog
psychonauts, wishlist-unplayed, gog
myst, wishlist-unplayed, gog
ftl, wishlist-unplayed, gog
minecraft: story mode, wishlist-unplayed, gog
stronghold crusader 2, wishlist-unplayed, gog
theme hospital, wishlist-briefly, gog
chaos reborn, wishlist-unplayed, gog
star trek starfleet command, wishlist-unplayed, gog
star trek academy, wishlist-unplayed, gog
to the moon, wishlist-unplayed, gog
a bird story, wishlist-unplayed, gog
atlantis 2, wishlist-unplayed, gog
atlantis, wishlist-unplayed, gog
beyond good and evil, wishlist-unplayed, gog
might and magic 9, wishlist-unplayed, gog
might and magic 8, wishlist-unplayed, gog
might and magic 7, wishlist-briefly, gog
sudeki, wishlist-briefly, gog
plague, wishlist-unplayed, steam
ancient space, wishlist-unplayed, steam
wofl among us, wishlist-unplayed, steam
shovel knight, wishlist-unplayed, steam
homeworld, wishlist-unplayed, steam
transistor, wishlist-unplayed, steam
universe sandbox, wishlist-unplayed, steam
the swapper, wishlist-unplayed, steam
planet explorers, wishlist-unplayed, steam
the binding of isaac, wishlist-unplayed, steam
child of light, wishlist-unplayed, steam
hacknet, wishlist-unplayed, steam
final fantasy VI, wishlist-unplayed, steam
emily is away, wishlist-unplayed, steam
elite dangerous, wishlist-unplayed, steam
if my heart had wings, wishlist-unplayed, steam
talos principle, wishlist-unplayed, steam
vanishing of ehan carter, wishlist-unplayed, steam
life is strange, wishlist-unplayed, steam
starforge, wishlist-unplayed, steam
thomas was alone, wishlist-unplayed, steam
star wolves, wishlist-unplayed, steam
might and magic: Heroes VI, wishlist-unplayed, steam
Civilization: Beyond Earth, wishlist-unplayed, steam
Worms Reloaded, wishlist-replay, steam
alice: madness returns, wishlist-unplayed, steam
x3: terran conflict, wishlist-unplayed, steam
Unreal: GOTY, wishlist-replay, steam
mirror's edge, wishlist-unplayed, steam
sonic the hedgehog 2, wishlist-unplayed, steam
sonic adventure DX, wishlist-unplayed, steam
south park: Stick of Truth, wishlist-unplayed, steam
mark of the ninja, wishlist-unplayed, steam
devil may cry, wishlist-unplayed, steam
sonic adventure 2, wishlist-unplayed, steam
sonic generations, wishlist-unplayed, steam
bastion, wishlist-unplayed, steam
starbound, wishlist-unplayed, steam
space empires V, wishlist-unplayed, steam
final fantasy X, wishlist-briefly, other
pokemon mystery dungeon, wishlist-unplayed, other
legend of zelda: ocarina of time, wishlist-unplayed, other
Diablo II, wishlist-replay, other
Mount and Blade, wishlist-unplayed, steam
Duke Nukem 1+2, wishlist-unplayed, steam
Undertale, wishlist-unplayed, steam
Shovel Knight, wishlist-unplayed, 3ds store
Age of Mythology, wishlist-unplayed, steam
Bejeweled 3, unplayed, humble bundle
cities in motion 2, unplayed, humble bundle
dead space 2, unplayed, humble bundle
dragon age: origins, unplayed, humble bundle
final fatansy XIV: A realm reborn, unplayed, humble bundle
front mission evolved, unplayed, humble bundle
garry's mod, unplayed, humble bundle
gyromancer, unplayed, humble bundle
hitman: absolution, unplayed, humble bundle
wing commander 3, unplayed, origin
heart of the tiger, unplayed, origin
simcity 2000, unplayed, origin
wing commander 4, unplayed, origin
price of freedom, unplayed, origin
Ultima VII, unplayed, origin
just cause collection, unplayed, humble bundle
lara croft & the temple of siris, unplayed, humble bundle
the last remnant, unplayed, humble bundle
life is strange: episode 1, unplayed, humble bundle
magicka, unplayed, humble bundle
murdered: soul suspect, unplayed, humble bundle
sanctum, unplayed, humble bundle
star wars: dark forces, unplayed, humble bundle
star wars empire at war, unplayed, humble bundle
star wars jedi knight dark forces, unplayed, humble bundle
star wars republic commando, replay, humble bundle
tomb raider anniversary, unplayed, humble bundle
tom raider GOTY, unplayed, humble bundle
tomb raider 1, unplayed, humble bundle
tomb raider underworld, unplayed, humble bundle
yosumin, unplayed, humble bundle
burtik, replay, albisoft
nuclear karl, replay, albisoft
shovel knight, wishlist-unplayed, 3ds
pokemon conquest, wishlist-unplayed, 3ds
firewatch, wishlist-unplayed, steam
