game, status, details/progress
Star Wars: The Force Unleashed II, fully finished, awesome game!
Teenagent, abandoned, horrible game
murdered: soul suspect, fully finished, awesome game!
Diablo II, done, on Nightmare mode
Final Fantasy XIII, playing, Disc 2
Pokemon White, playing, elite 4 left
Pokemon ORAS, finished, elite 4 multiple playthroughs not done
Pokemon SoulSilver, playing, elite 4 left
Duke Nukem, playing,ep1
Fable III, playing, last quest
Chrono Trigger, playing, 2 more areas left
Mass Effect III, playing, close to the beginning
Dragon Warrior, playing, 1st area
Fire Emblem, playing, 1/2 through
Halo 4, done, 100%
Doom, done, 100%
Path of Exile, playing, act III
